Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
NVDA,NVIDIA CORP,Information Technology,Equity,7780621424.44,5.62039,7780621424.44,38926463,199.88,United States,NASDAQ,USD
AAPL,APPLE INC,Information Technology,Equity,6266921013.02,4.52696,6266921013.02,23544806,266.17,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,4797562205.92,3.46556,4797562205.92,11310737,424.16,United States,NASDAQ,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,3851693640.93,2.7823,3851693640.93,15412323,249.91,United States,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,3097870221.39,2.23777,3097870221.39,9322791,332.29,United States,NASDAQ,USD
AVGO,BROADCOM INC,Information Technology,Equity,2901800124.69,2.09614,2901800124.69,7215357,402.17,United States,NASDAQ,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,2575495803.51,1.86043,2575495803.51,7793433,330.47,United States,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,2333824880.08,1.68586,2333824880.08,3489362,668.84,United States,NASDAQ,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,1749914176.18,1.26406,1749914176.18,4528529,386.42,United States,NASDAQ,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,1364944798,0.98598,1364944798,4360846,313,United States,New York Stock Exchange Inc.,USD
LLY,ELI LILLY,Health Care,Equity,1157866692.32,0.83639,1157866692.32,1282216,903.02,United States,New York Stock Exchange Inc.,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,1029978978.5,0.74401,1029978978.5,2198461,468.5,United States,New York Stock Exchange Inc.,USD
XOM,EXXON MOBIL CORP,Energy,Equity,1008688067.92,0.72863,1008688067.92,6798922,148.36,United States,New York Stock Exchange Inc.,USD
ASML,ASML HOLDING NV,Information Technology,Equity,908649186.12,0.65637,908649186.12,625050,1453.72,Netherlands,Euronext Amsterdam,EUR
WMT,WALMART INC,Consumer Staples,Equity,907965288,0.65588,907965288,7005905,129.6,United States,NASDAQ,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,867492541.52,0.62664,867492541.52,3835747,226.16,United States,New York Stock Exchange Inc.,USD
